RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
*,*,sd***,"[456, 818]",Germany,Female,44,8,115954.99,3,0,0,165704.39,1,1,5,PLATINUM,913
*,*,sd***,"[449, 850]",France,Female,41,6,147743.82,1,1,0,39735.76,0,0,2,PLATINUM,322
*,*,sd***,"[476, 838]",Spain,Male,28,8,0.0,2,1,0,61339.79,0,0,3,PLATINUM,457
*,*,sd***,"[476, 838]",Spain,Male,28,2,0.0,2,1,0,29905.11,0,0,1,DIAMOND,386
*,*,sd***,"[468, 850]",France,Male,30,8,0.0,2,1,1,116312.97,0,0,5,PLATINUM,254
*,*,sd***,"[516, 849]",Germany,Male,52,8,104511.97,1,1,0,181278.37,0,0,3,PLATINUM,558
*,*,sd***,"[476, 838]",Spain,Male,28,10,0.0,1,1,0,93172.41,0,0,1,PLATINUM,551
*,*,sd***,"[489, 832]",Spain,Female,40,6,142197.09,2,0,0,19229.12,0,0,4,DIAMOND,586
*,*,sd***,"[476, 838]",Spain,Male,28,8,0.0,2,1,1,74136.53,0,0,4,PLATINUM,751
*,*,sd***,"[449, 850]",France,Female,41,10,117318.7,1,0,0,183483.6,1,1,3,GOLD,554
*,*,sd***,"[449, 850]",France,Female,41,5,131289.07,3,0,0,10807.41,1,1,2,PLATINUM,523
*,*,sd***,"[516, 849]",Germany,Male,52,2,0.0,2,1,0,16887.28,0,0,1,PLATINUM,247
*,*,sd***,"[468, 850]",France,Male,30,8,0.0,1,1,1,2253.08,0,0,4,PLATINUM,576
*,*,sd***,"[489, 832]",Spain,Female,40,5,0.0,2,1,0,95996.04,0,0,3,GOLD,648
*,*,sd***,"[468, 850]",France,Male,30,8,114535.31,2,1,0,177984.54,0,0,2,DIAMOND,898
*,*,sd***,"[489, 832]",Spain,Female,40,5,159395.01,1,1,1,191113.47,0,0,3,SILVER,777
*,*,sd***,"[449, 850]",France,Female,41,8,121142.1,2,1,0,39303.62,0,1,3,DIAMOND,336
*,*,sd***,"[456, 818]",Germany,Female,44,1,126831.18,2,0,1,64645.69,0,0,3,DIAMOND,281
*,*,sd***,"[489, 832]",Spain,Female,40,3,143583.7,1,1,0,45463.18,0,0,2,PLATINUM,905
*,*,sd***,"[449, 850]",France,Female,41,8,110588.07,3,0,1,68973.31,1,1,3,DIAMOND,778
*,*,sd***,"[456, 818]",Germany,Female,44,2,125591.87,3,1,0,155167.24,1,1,5,DIAMOND,871
*,*,sd***,"[456, 818]",Germany,Female,44,9,98804.07,2,0,1,127378.43,0,0,4,PLATINUM,888
*,*,sd***,"[456, 818]",Germany,Female,44,9,152790.29,2,1,1,75908.93,0,0,3,DIAMOND,271
*,*,sd***,"[449, 850]",France,Female,41,7,0.0,2,1,1,178546.83,0,0,3,GOLD,725
*,*,sd***,"[476, 838]",Spain,Male,28,10,213.92,2,1,0,34905.57,0,0,3,DIAMOND,812
