RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
*,*,sd***,"[456, 817]",Germany,Female,44,8,115954.99,3,0,0,107661.64,1,1,5,PLATINUM,686
*,*,sd***,"[461, 850]",France,Female,36,6,147743.82,1,1,0,110363.03,0,0,2,PLATINUM,585
*,*,sd***,"[486, 809]",Spain,Male,28,8,0.0,2,1,0,73475.4,0,0,3,PLATINUM,512
*,*,sd***,"[476, 838]",Spain,Male,29,2,0.0,2,1,0,64211.97,0,0,1,DIAMOND,559
*,*,sd***,"[508, 850]",France,Male,37,8,0.0,2,1,1,71993.92,0,0,5,PLATINUM,576
*,*,sd***,"[516, 840]",Germany,Male,52,8,104511.97,1,1,0,93814.26999999999,0,0,3,PLATINUM,357
*,*,sd***,"[486, 809]",Spain,Male,28,10,0.0,1,1,0,73475.4,0,0,1,PLATINUM,512
*,*,sd***,"[515, 832]",Spain,Female,40,6,142197.09,2,0,0,87204.29000000001,0,0,4,DIAMOND,663
*,*,sd***,"[486, 809]",Spain,Male,28,8,0.0,2,1,1,73475.4,0,0,4,PLATINUM,512
*,*,sd***,"[519, 841]",France,Female,32,10,117318.7,1,0,0,108845.77,1,1,3,GOLD,618
*,*,sd***,"[461, 850]",France,Female,36,5,131289.07,3,0,0,110363.03,1,1,2,PLATINUM,585
*,*,sd***,"[516, 840]",Germany,Male,52,2,0.0,2,1,0,93814.26999999999,0,0,1,PLATINUM,357
*,*,sd***,"[508, 850]",France,Male,37,8,0.0,1,1,1,71993.92,0,0,4,PLATINUM,576
*,*,sd***,"[528, 801]",Spain,Female,35,5,0.0,2,1,0,113614.34,0,0,3,GOLD,502
*,*,sd***,"[468, 717]",France,Male,46,8,114535.31,2,1,0,58280.03,0,0,2,DIAMOND,580
*,*,sd***,"[530, 801]",Spain,Female,34,5,159395.01,1,1,1,88009.45499999999,0,0,3,SILVER,493
*,*,sd***,"[449, 804]",France,Female,55,8,121142.1,2,1,0,71094.36,0,1,3,DIAMOND,679
*,*,sd***,"[496, 818]",Germany,Female,51,1,126831.18,2,0,1,99643.1,0,0,3,DIAMOND,594
*,*,sd***,"[489, 802]",Spain,Female,38,3,143583.7,1,1,0,77513.88,0,0,2,PLATINUM,603
*,*,sd***,"[449, 804]",France,Female,55,8,110588.07,3,0,1,71094.36,1,1,3,DIAMOND,679
*,*,sd***,"[496, 818]",Germany,Female,51,2,125591.87,3,1,0,99643.1,1,1,5,DIAMOND,594
*,*,sd***,"[456, 817]",Germany,Female,44,9,98804.07,2,0,1,107661.64,0,0,4,PLATINUM,686
*,*,sd***,"[496, 818]",Germany,Female,51,9,152790.29,2,1,1,99643.1,0,0,3,DIAMOND,594
*,*,sd***,"[519, 841]",France,Female,32,7,0.0,2,1,1,108845.77,0,0,3,GOLD,618
*,*,sd***,"[476, 838]",Spain,Male,29,10,213.92,2,1,0,64211.97,0,0,3,DIAMOND,559
*,*,sd***,"[528, 801]",Spain,Female,35,8,126055.28,1,0,1,113614.34,0,0,1,GOLD,502
*,*,sd***,"[515, 832]",Spain,Female,40,8,132710.18,1,0,0,87204.29000000001,1,1,1,DIAMOND,663
*,*,sd***,"[496, 818]",Germany,Female,51,10,100686.49,1,0,0,99643.1,1,1,5,DIAMOND,594
*,*,sd***,"[456, 817]",Germany,Female,44,7,131597.5,2,0,0,107661.64,0,0,3,PLATINUM,686
*,*,sd***,"[540, 791]",Germany,Female,39,6,146527.41,2,1,1,131467.9,0,0,5,SILVER,647
*,*,sd***,"[496, 818]",Germany,Female,51,8,146876.85,1,0,0,99643.1,1,1,3,DIAMOND,594
*,*,sd***,"[506, 791]",France,Male,52,3,88310.77,2,1,1,72214.235,0,0,2,GOLD,673
*,*,sd***,"[515, 832]",Spain,Female,40,10,97563.51,1,1,0,87204.29000000001,0,0,3,DIAMOND,663
*,*,sd***,"[522, 760]",Germany,Female,53,4,101556.69,1,1,1,132692.46,1,1,3,GOLD,754
*,*,sd***,"[519, 841]",France,Female,32,8,1101.14,2,0,0,108845.77,0,0,2,GOLD,618
*,*,sd***,"[489, 802]",Spain,Female,38,5,0.0,1,1,0,77513.88,0,0,1,PLATINUM,603
*,*,sd***,"[496, 818]",Germany,Female,51,6,64415.4,3,0,0,99643.1,1,1,4,DIAMOND,594
*,*,sd***,"[461, 850]",France,Female,36,10,0.0,2,1,0,110363.03,0,0,4,PLATINUM,585
*,*,sd***,"[469, 849]",France,Female,41,2,611.47,2,1,0,96864.255,1,0,5,SILVER,561
*,*,sd***,"[496, 818]",Germany,Female,51,8,135061.89,1,1,1,99643.1,0,0,2,DIAMOND,594
