RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned,cluster
343984,746667,sdv-pii-x5pxl,554,Germany,Female,52,8,115954.99,3,0,0,165704.39,1,1,5,PLATINUM,913,3
8060568,14978897,sdv-pii-msthg,461,France,Female,34,6,147743.82,1,1,0,39735.76,0,0,2,PLATINUM,322,4
705627,7680236,sdv-pii-ocsen,694,Spain,Male,37,8,0.0,2,1,0,61339.79,0,0,3,PLATINUM,457,0
40431,9990238,sdv-pii-0mhmc,766,Spain,Male,22,2,0.0,2,1,0,29905.11,0,0,1,DIAMOND,386,0
11283339,5187252,sdv-pii-twsop,850,France,Male,30,8,0.0,2,1,1,116312.97,0,0,5,PLATINUM,254,0
3290936,15394028,sdv-pii-bj2ub,819,Germany,Male,23,8,104511.97,1,1,0,181278.37,0,0,3,PLATINUM,558,0
15330934,3430763,sdv-pii-zqmjv,696,Spain,Male,37,10,0.0,1,1,0,93172.41,0,0,1,PLATINUM,551,0
10434812,7723956,sdv-pii-unesr,763,Spain,Female,36,6,142197.09,2,0,0,19229.12,0,0,4,DIAMOND,586,4
9655424,1496020,sdv-pii-9g0j4,569,Spain,Male,41,8,0.0,2,1,1,74136.53,0,0,4,PLATINUM,751,0
3672529,3334120,sdv-pii-dzk0y,646,France,Female,57,10,117318.7,1,0,0,183483.6,1,1,3,GOLD,554,1
13652292,6324167,sdv-pii-0gnqj,564,France,Female,41,5,131289.07,3,0,0,10807.41,1,1,2,PLATINUM,523,1
5230807,3512678,sdv-pii-hh4g3,547,Germany,Male,25,2,0.0,2,1,0,16887.28,0,0,1,PLATINUM,247,0
787196,1350126,sdv-pii-h36hi,647,France,Male,23,8,0.0,1,1,1,2253.08,0,0,4,PLATINUM,576,0
12789536,8081867,sdv-pii-ud4kx,701,Spain,Female,36,5,0.0,2,1,0,95996.04,0,0,3,GOLD,648,4
9669114,9029401,sdv-pii-6g3l3,691,France,Male,37,8,114535.31,2,1,0,177984.54,0,0,2,DIAMOND,898,0
5144384,14843922,sdv-pii-s0quo,772,Spain,Female,24,5,159395.01,1,1,1,191113.47,0,0,3,SILVER,777,4
8552398,8363052,sdv-pii-knnpz,729,France,Female,29,8,121142.1,2,1,0,39303.62,0,1,3,DIAMOND,336,1
11072256,14298910,sdv-pii-vo66g,818,Germany,Female,28,1,126831.18,2,0,1,64645.69,0,0,3,DIAMOND,281,4
13074213,14885352,sdv-pii-cxjg1,613,Spain,Female,24,3,143583.7,1,1,0,45463.18,0,0,2,PLATINUM,905,4
14156822,5819406,sdv-pii-wnrdp,449,France,Female,73,8,110588.07,3,0,1,68973.31,1,1,3,DIAMOND,778,1
12975418,12976423,sdv-pii-zceya,659,Germany,Female,44,2,125591.87,3,1,0,155167.24,1,1,5,DIAMOND,871,3
7258238,10797455,sdv-pii-xb2t5,790,Germany,Female,39,9,98804.07,2,0,1,127378.43,0,0,4,PLATINUM,888,4
8425899,6286014,sdv-pii-lux7k,675,Germany,Female,65,9,152790.29,2,1,1,75908.93,0,0,3,DIAMOND,271,4
11788368,2643547,sdv-pii-ziqco,765,France,Female,32,7,0.0,2,1,1,178546.83,0,0,3,GOLD,725,4
1165528,8749285,sdv-pii-k6zyt,552,Spain,Male,31,10,213.92,2,1,0,34905.57,0,0,3,DIAMOND,812,0
14170405,16638996,sdv-pii-sudug,598,Spain,Female,50,8,126055.28,1,0,1,131232.64,0,0,1,GOLD,451,4
13535483,8496656,sdv-pii-v00gn,542,Spain,Female,52,8,132710.18,1,0,0,46195.82,1,1,1,DIAMOND,683,3
14212079,9769576,sdv-pii-ikcp2,713,Germany,Female,49,10,100686.49,1,0,0,166160.7,1,1,5,DIAMOND,641,3
10942398,776407,sdv-pii-5fne2,528,Germany,Female,47,7,131597.5,2,0,0,113987.87,0,0,3,PLATINUM,1000,4
11015055,13030095,sdv-pii-eolu0,675,Germany,Female,49,6,146527.41,2,1,1,154763.97,0,0,5,SILVER,647,4
7767594,11993559,sdv-pii-3kk9b,698,Germany,Female,64,8,146876.85,1,0,0,170463.48,1,1,3,DIAMOND,714,3
10951460,1597989,sdv-pii-0r3by,552,France,Male,41,3,88310.77,2,1,1,57128.51,0,0,2,GOLD,758,0
10694026,15121452,sdv-pii-pym29,515,Spain,Female,38,10,97563.51,1,1,0,175412.1,0,0,3,DIAMOND,877,4
11392271,15328045,sdv-pii-2q6ve,527,Germany,Female,71,4,101556.69,1,1,1,186742.69,1,1,3,GOLD,675,3
16697133,14991347,sdv-pii-1yxvh,519,France,Female,34,8,1101.14,2,0,0,136974.04,0,0,2,GOLD,434,4
